ID,exercise_name,muscle_group,equipment,intensity_level,description,condition,demo_video
1,Cable Crossover,Chest,Machine,Moderate,Sample chest exercise with machine,asthma,https://www.youtube.com/watch?v=taI4XduLpTk
2,Pull-Up,Back,Dumbbells,Low,Sample back exercise with dumbbells,asthma,https://www.youtube.com/watch?v=eGo4IYlbE5g
3,Romanian Deadlift,Legs,Cable,Moderate,Sample legs exercise with cable,asthma,https://www.youtube.com/watch?v=DJpHADyP-Ko
4,Arnold Press,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,asthma,https://www.youtube.com/watch?v=vj2w851ZHRM
5,Skull Crusher,Arms,Bands,Moderate,Sample arms exercise with bands,asthma,https://www.youtube.com/watch?v=d_KZxkY_0cM
6,Plank,Core,Bodyweight,Low,Sample core exercise with bodyweight,asthma,https://www.youtube.com/watch?v=pSHjTRCQxIw
7,Barbell Hip Thrust,Glutes,Machine,Moderate,Sample glutes exercise with machine,asthma,https://www.youtube.com/watch?v=LM8XHLYJoYs
8,Barbell Shrug,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,asthma,https://www.youtube.com/watch?v=7-7Ln9N1M0k
9,Incline Dumbbell Press,Chest,Cable,Moderate,Sample chest exercise with cable,asthma,https://www.youtube.com/watch?v=8iPEnn-ltC8
10,Barbell Row,Back,Barbell,Low,Sample back exercise with barbell,asthma,https://www.youtube.com/watch?v=vT2GjY_Umpw
11,Squat,Legs,Bands,Moderate,Sample legs exercise with bands,asthma,https://www.youtube.com/watch?v=YaXPRqUwItQ
12,Arnold Press,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,asthma,https://www.youtube.com/watch?v=vj2w851ZHRM
13,Preacher Curl,Arms,Machine,Moderate,Sample arms exercise with machine,asthma,https://www.youtube.com/watch?v=fIWP-FRFNU0
14,Hanging Leg Raise,Core,Dumbbells,Low,Sample core exercise with dumbbells,asthma,https://www.youtube.com/watch?v=HDgq3x0B0GQ
15,Glute Bridge,Glutes,Cable,Moderate,Sample glutes exercise with cable,asthma,https://www.youtube.com/watch?v=8bbE64NuDTU
16,Dumbbell Shrug,Traps,Barbell,Low,Sample traps exercise with barbell,asthma,https://www.youtube.com/watch?v=1v7S_7DnkPk
17,Chest Fly,Chest,Bands,Moderate,Sample chest exercise with bands,asthma,https://www.youtube.com/watch?v=eozdVDA78K0
18,Single-Arm Dumbbell Row,Back,Bodyweight,Low,Sample back exercise with bodyweight,asthma,https://www.youtube.com/watch?v=pYcpY20QaE8
19,Squat,Legs,Machine,Moderate,Sample legs exercise with machine,asthma,https://www.youtube.com/watch?v=YaXPRqUwItQ
20,Overhead Press,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,asthma,https://www.youtube.com/watch?v=qEwKCR5JCog
21,Hammer Curl,Arms,Cable,Moderate,Sample arms exercise with cable,asthma,https://www.youtube.com/watch?v=zC3nLlEvin4
22,Cable Crunch,Core,Barbell,Low,Sample core exercise with barbell,asthma,https://www.youtube.com/watch?v=G4XH7a0fH0M
23,Cable Pull-Through,Glutes,Bands,Moderate,Sample glutes exercise with bands,asthma,https://www.youtube.com/watch?v=F4Kc5gHhA6Y
24,Face Pull (Traps),Traps,Bodyweight,Low,Sample traps exercise with bodyweight,asthma,https://www.youtube.com/watch?v=rep-qVOkqgk
25,Bench Press,Chest,Machine,Moderate,Sample chest exercise with machine,asthma,https://www.youtube.com/watch?v=rT7DgCr-3pg
26,Deadlift,Back,Dumbbells,Low,Sample back exercise with dumbbells,asthma,https://www.youtube.com/watch?v=op9kVnSso6Q
27,Leg Extension,Legs,Cable,Moderate,Sample legs exercise with cable,asthma,https://www.youtube.com/watch?v=yRxs4lFxiJw
28,Arnold Press,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,asthma,https://www.youtube.com/watch?v=vj2w851ZHRM
29,Bicep Curl,Arms,Bands,Moderate,Sample arms exercise with bands,asthma,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
30,Russian Twist,Core,Bodyweight,Low,Sample core exercise with bodyweight,asthma,https://www.youtube.com/watch?v=wkD8rjkodUI
31,Step-Up,Glutes,Machine,Moderate,Sample glutes exercise with machine,asthma,https://www.youtube.com/watch?v=dQqApCGd5Ss
32,Behind-the-Back Shrug,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,asthma,https://www.youtube.com/watch?v=H7XQLba9BH4
33,Push-Up,Chest,Cable,Moderate,Sample chest exercise with cable,asthma,https://www.youtube.com/watch?v=_l3ySVKYVJ8
34,Barbell Row,Back,Barbell,Low,Sample back exercise with barbell,asthma,https://www.youtube.com/watch?v=vT2GjY_Umpw
35,Romanian Deadlift,Legs,Bands,Moderate,Sample legs exercise with bands,asthma,https://www.youtube.com/watch?v=DJpHADyP-Ko
36,Front Raise,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,asthma,https://www.youtube.com/watch?v=-t7fuZ0KhDA
37,Hammer Curl,Arms,Machine,Moderate,Sample arms exercise with machine,asthma,https://www.youtube.com/watch?v=zC3nLlEvin4
38,Bicycle Crunch,Core,Dumbbells,Low,Sample core exercise with dumbbells,asthma,https://www.youtube.com/watch?v=9FGilxCbdz8
39,Reverse Lunge,Glutes,Cable,Moderate,Sample glutes exercise with cable,asthma,https://www.youtube.com/watch?v=QOVaHwm-Q6U
40,Farmer's Walk,Traps,Barbell,Low,Sample traps exercise with barbell,asthma,https://www.youtube.com/watch?v=QJ7pMoDZX8o
